name;email;age;salary;isActive
Kylee;Kylee_Moen@yahoo.com;75;5915;true
Jaron;Jaron39@gmail.com;72;3791;true
Bella;Bella69@hotmail.com;37;0254;true
Rosalind;Rosalind_Huel@gmail.com;79;7397;true
Harrison;Harrison90@yahoo.com;63;8467;false
Sibyl;Sibyl.Kihn@yahoo.com;65;2587;false
Kaylie;Kaylie.Kuhlman99@gmail.com;87;4804;false
Joel;Joel58@hotmail.com;37;9835;true
Karli;Karli_Bartoletti@hotmail.com;21;9244;false
Dakota;Dakota.Klein@yahoo.com;48;4638;true
Coty;Coty_Rippin75@yahoo.com;43;2581;true
Mable;Mable10@yahoo.com;70;5565;true
Retta;Retta.Okuneva91@hotmail.com;82;6412;false
Tia;Tia70@yahoo.com;79;9209;false
Westley;Westley_Heathcote@gmail.com;30;1555;false
Kelly;Kelly60@gmail.com;85;3609;false
Carley;Carley36@gmail.com;37;2471;true
Orin;Orin42@hotmail.com;63;3740;false
Dena;Dena60@yahoo.com;77;4217;false
Mac;Mac82@hotmail.com;45;6207;true
Christop;Christop11@yahoo.com;83;5660;true
Chanel;Chanel.Harris@yahoo.com;29;9183;true
Georgianna;Georgianna18@hotmail.com;91;5913;true
Jannie;Jannie78@hotmail.com;33;4429;true
Khalid;Khalid21@gmail.com;99;8924;false
Novella;Novella_Hilpert95@gmail.com;86;5721;false
Tony;Tony.Reilly55@hotmail.com;78;1766;true
Tabitha;Tabitha59@yahoo.com;40;4667;true
Pearline;Pearline53@hotmail.com;59;0783;false
Jacquelyn;Jacquelyn6@yahoo.com;87;8740;true
Cynthia;Cynthia98@gmail.com;62;5922;true
Gayle;Gayle.Swift@hotmail.com;17;5165;false
Angel;Angel.Mosciski@gmail.com;28;4660;false
Yesenia;Yesenia_Abshire@yahoo.com;30;7410;false
Ozella;Ozella63@gmail.com;41;2255;false
Audie;Audie28@gmail.com;69;9554;false
Eve;Eve6@yahoo.com;34;1088;false
Kellie;Kellie_Carroll@hotmail.com;93;3520;true
Emmy;Emmy_OKeefe@gmail.com;95;5685;false
Zoe;Zoe_Rolfson@gmail.com;41;6291;true
Edyth;Edyth62@gmail.com;13;2752;true
Gussie;Gussie_Ledner@gmail.com;86;3124;false
Stephan;Stephan82@yahoo.com;20;1562;true
Celestino;Celestino.Rowe39@hotmail.com;90;1919;false
Demetrius;Demetrius.Schultz0@yahoo.com;74;1070;true
Edd;Edd94@yahoo.com;32;1400;true
Clint;Clint_Parisian95@hotmail.com;97;0653;true
Alberta;Alberta72@hotmail.com;75;4115;false
Shawna;Shawna_Barrows@gmail.com;39;7194;true
Carolyn;Carolyn36@hotmail.com;13;4289;true
Meagan;Meagan_Kulas@hotmail.com;13;6745;true
Geovany;Geovany_Hagenes36@yahoo.com;94;8749;false
Thomas;Thomas_Cole99@yahoo.com;26;0451;false
Cloyd;Cloyd82@gmail.com;38;7783;false
America;America_Wyman84@hotmail.com;72;6676;true
Karl;Karl32@yahoo.com;67;0050;true
Bo;Bo_Kub@hotmail.com;24;3787;true
Hadley;Hadley_Schoen50@yahoo.com;76;2842;false
Belle;Belle_Rolfson@yahoo.com;81;3240;false
Reina;Reina_Ruecker@hotmail.com;89;5469;true
Sedrick;Sedrick_Lesch@hotmail.com;61;7909;true
Jayne;Jayne.Kirlin@hotmail.com;30;7902;true
Theodora;Theodora.Wilkinson98@yahoo.com;100;7398;true
Aliya;Aliya_Blanda@gmail.com;58;2474;false
Markus;Markus41@yahoo.com;84;6556;true
Claire;Claire32@hotmail.com;100;6402;true
Flossie;Flossie_Upton@gmail.com;81;5084;true
Monty;Monty_Reichel@yahoo.com;90;4326;true
Julia;Julia54@gmail.com;33;0405;true
Luz;Luz90@yahoo.com;73;0142;false
Birdie;Birdie_Daniel89@gmail.com;96;2883;false
Sally;Sally13@gmail.com;43;9406;true
Alexandrea;Alexandrea_Murazik@hotmail.com;53;3746;false
Rex;Rex26@yahoo.com;65;2673;false
Chloe;Chloe_Walsh9@gmail.com;97;0153;false
Glenda;Glenda14@hotmail.com;60;3779;true
Krista;Krista.Greenfelder61@hotmail.com;40;0064;false
Una;Una1@hotmail.com;20;1019;true
Shawn;Shawn54@gmail.com;79;1900;true
Scottie;Scottie_Abernathy76@hotmail.com;92;9900;true
German;German_Marks@hotmail.com;53;9157;false
Melisa;Melisa_Hills@yahoo.com;54;1890;false
Neva;Neva_Bode@gmail.com;50;0265;false
Janick;Janick26@hotmail.com;47;4847;false
Horacio;Horacio_Schulist@gmail.com;75;2253;true
Ward;Ward.Wyman@yahoo.com;79;9758;true
Rosie;Rosie_Littel@yahoo.com;100;8421;true
Abraham;Abraham.Volkman26@yahoo.com;27;6328;false
Tyrell;Tyrell.MacGyver@yahoo.com;92;3614;false
Irma;Irma9@yahoo.com;50;2669;false
Royal;Royal_Jacobson55@yahoo.com;45;6641;true
Sophia;Sophia73@gmail.com;58;5429;false
Arch;Arch73@gmail.com;25;9868;true
Dedric;Dedric76@gmail.com;41;1541;true
Mallie;Mallie.Lindgren55@gmail.com;69;7107;false
Luis;Luis.Schaefer45@hotmail.com;43;3792;true
Jessica;Jessica81@gmail.com;66;9392;true
Bridie;Bridie.Bernhard48@hotmail.com;96;8007;false
Dorothea;Dorothea.Langosh@hotmail.com;66;6750;false
Jailyn;Jailyn_Sporer83@gmail.com;47;3364;false
Lavina;Lavina_Smitham@gmail.com;51;3196;true
Scottie;Scottie_Farrell@hotmail.com;80;4694;false
Tyreek;Tyreek_Willms@gmail.com;52;0419;true
Kyle;Kyle_Kuvalis@yahoo.com;84;1005;false
Alanis;Alanis_Mueller@hotmail.com;37;6511;true
Harmony;Harmony27@gmail.com;60;3151;false
Eulah;Eulah_Romaguera24@hotmail.com;74;2494;false
Walter;Walter_Crist30@hotmail.com;22;7726;false
Jairo;Jairo.Doyle@hotmail.com;19;9868;false
Derrick;Derrick_West73@yahoo.com;93;6390;false
Katelyn;Katelyn36@hotmail.com;42;0614;true
Cheyanne;Cheyanne_Fadel76@yahoo.com;13;4551;false
Leo;Leo33@yahoo.com;19;3666;false
Odessa;Odessa.Fisher60@gmail.com;23;2373;false
Aimee;Aimee_Kemmer0@gmail.com;40;6456;true
Blanca;Blanca.Altenwerth89@yahoo.com;85;4670;false
Cara;Cara49@hotmail.com;15;9883;true
Anissa;Anissa_Shields@hotmail.com;28;1030;false
Zita;Zita_Effertz@yahoo.com;26;7361;true
Breana;Breana.Harris@yahoo.com;91;8819;false
Cristobal;Cristobal.Fisher@gmail.com;72;3865;false
Ella;Ella.Rodriguez97@yahoo.com;10;4809;true
Owen;Owen.Konopelski@gmail.com;15;5733;true
Maybelle;Maybelle62@gmail.com;43;2103;true
Charlie;Charlie21@yahoo.com;49;1747;false
Lambert;Lambert79@hotmail.com;85;1832;true
Nicolas;Nicolas3@gmail.com;76;2106;false
Chance;Chance.McCullough@yahoo.com;22;1436;true
Deshawn;Deshawn_Dickens16@yahoo.com;100;8542;false
Destin;Destin_Lueilwitz55@yahoo.com;83;8789;false
Adalberto;Adalberto_Dickinson@gmail.com;95;0472;true
Jackie;Jackie_Feil@gmail.com;74;6865;false
Arden;Arden_Beier@yahoo.com;32;6720;false
Adolph;Adolph18@hotmail.com;66;6917;false
Betsy;Betsy98@hotmail.com;41;2492;true
Alisha;Alisha.Tromp54@gmail.com;38;7728;true
Devan;Devan.Dicki82@gmail.com;63;5994;false
Jesse;Jesse.Berge@hotmail.com;35;5864;true
Curtis;Curtis50@yahoo.com;41;9215;false
Bette;Bette91@gmail.com;69;6835;false
Ernest;Ernest_Lockman@yahoo.com;50;7892;true
Janessa;Janessa.Mayer@gmail.com;41;9263;true
Earl;Earl90@yahoo.com;78;9891;false
Verla;Verla.Bradtke@hotmail.com;49;4487;false
Emmalee;Emmalee_Schultz22@hotmail.com;45;5028;true
Melany;Melany.Bahringer@yahoo.com;92;9020;false
Shana;Shana29@hotmail.com;18;7416;false
Bennett;Bennett20@gmail.com;87;4425;true
Elissa;Elissa.Willms@hotmail.com;54;4519;true
Blair;Blair94@yahoo.com;69;1304;true
Lance;Lance79@gmail.com;75;2331;true
Buford;Buford87@yahoo.com;53;9723;false
Keaton;Keaton.Rosenbaum95@gmail.com;29;5506;true
Randall;Randall.Pollich79@yahoo.com;62;0551;true
Francisca;Francisca_Kris58@yahoo.com;21;1414;true
Brent;Brent_Bernier21@gmail.com;50;5210;true
Brando;Brando_Reilly@hotmail.com;11;2824;true
Bret;Bret_Reilly@hotmail.com;44;2860;false
Noemie;Noemie_Smith@yahoo.com;12;6153;true
Kacie;Kacie.Dickens@hotmail.com;55;7479;true
Clifton;Clifton_Gerlach@gmail.com;21;3578;false
Garrett;Garrett.Larson27@gmail.com;78;0994;true
Jena;Jena.Weimann@yahoo.com;81;1409;true
Darron;Darron.Wintheiser@yahoo.com;88;9415;true
Jedediah;Jedediah.Towne68@gmail.com;18;8744;true
Jannie;Jannie46@gmail.com;76;0906;false
Candido;Candido.Stark@hotmail.com;29;2910;true
Kelsie;Kelsie_Raynor@hotmail.com;92;3281;true
Gus;Gus23@hotmail.com;78;3700;true
Alaina;Alaina.Christiansen@yahoo.com;76;3511;false
Maribel;Maribel7@hotmail.com;85;4570;true
Jace;Jace98@yahoo.com;59;0489;true
Bradford;Bradford_Krajcik@gmail.com;70;4122;false
Trenton;Trenton_Hagenes@gmail.com;18;7718;true
Alvena;Alvena_Ferry@yahoo.com;60;3096;true
Kaitlyn;Kaitlyn_Koch2@yahoo.com;73;6256;true
Trey;Trey.Hermiston79@gmail.com;84;0723;true
Fletcher;Fletcher.Glover21@yahoo.com;72;9681;true
Lela;Lela29@yahoo.com;44;5278;true
Benton;Benton_Hegmann@yahoo.com;28;8880;false
Shaniya;Shaniya.Hilll@gmail.com;76;7470;true
Hilma;Hilma.Tillman59@yahoo.com;63;6859;false
Aylin;Aylin_Casper@hotmail.com;88;4120;false
Eliane;Eliane19@gmail.com;76;9199;false
Sebastian;Sebastian76@yahoo.com;90;3534;true
Earnestine;Earnestine_Kirlin@yahoo.com;75;1300;true
Jasmin;Jasmin42@hotmail.com;21;2930;false
Adam;Adam.Mertz@hotmail.com;88;9564;true
Earlene;Earlene53@gmail.com;53;4075;false
Cesar;Cesar88@yahoo.com;40;2223;true
Amber;Amber.Witting@hotmail.com;35;0009;true
Mina;Mina_Lockman84@gmail.com;100;8645;false
Kaitlyn;Kaitlyn_Becker@yahoo.com;25;0019;false
Jany;Jany_Oberbrunner@hotmail.com;81;5284;false
Jammie;Jammie54@yahoo.com;79;9276;true
Sofia;Sofia_Considine@yahoo.com;53;3201;true
Jeffrey;Jeffrey.Tremblay@yahoo.com;14;6373;false
Eloisa;Eloisa_Feest@gmail.com;18;0519;true
Fatima;Fatima.McClure@yahoo.com;50;1672;false
Ewald;Ewald.Streich@hotmail.com;22;5445;true
Ernie;Ernie84@yahoo.com;52;4276;true
Gracie;Gracie_Renner63@gmail.com;74;0831;true
Marcos;Marcos.Grady@hotmail.com;63;9364;false
Reed;Reed_Anderson78@gmail.com;54;9858;false
Elliot;Elliot.Champlin@hotmail.com;53;6746;true
Leon;Leon_Luettgen@yahoo.com;22;6279;false
Lillie;Lillie9@gmail.com;33;3244;true
Dean;Dean90@yahoo.com;60;9669;true
Lafayette;Lafayette.Harris@hotmail.com;31;4612;false
Kimberly;Kimberly.King@hotmail.com;41;9386;false
Alysson;Alysson17@hotmail.com;94;0564;true
Marcelle;Marcelle_Rosenbaum@yahoo.com;20;6336;true
Bettye;Bettye57@gmail.com;78;1682;false
Arlo;Arlo71@yahoo.com;90;6676;true
Lavada;Lavada.Sanford13@hotmail.com;99;9397;true
Colt;Colt_Hilpert78@hotmail.com;11;2439;true
Deangelo;Deangelo35@yahoo.com;96;8782;true
Jevon;Jevon.Hartmann@hotmail.com;22;1533;true
Kiel;Kiel_VonRueden12@hotmail.com;63;8221;false
Emilie;Emilie45@yahoo.com;49;1644;false
Luis;Luis62@hotmail.com;22;1661;true
Myrtis;Myrtis.Kunze7@gmail.com;82;2596;true
Durward;Durward_Klein@yahoo.com;23;1179;false
Brandon;Brandon.Bradtke@hotmail.com;43;0761;false
Domingo;Domingo.Pfannerstill84@gmail.com;37;2358;true
Charlotte;Charlotte_Wuckert@yahoo.com;61;2732;true
Eliseo;Eliseo85@gmail.com;39;5359;false
Elyse;Elyse.Considine38@gmail.com;20;0306;false
Keyon;Keyon_Torp@yahoo.com;87;2883;false
Aiyana;Aiyana67@hotmail.com;76;0093;true
Meghan;Meghan10@gmail.com;31;5167;true
Jordyn;Jordyn.Labadie84@hotmail.com;80;7891;true
Filiberto;Filiberto_Ruecker@hotmail.com;52;9373;true
Maurice;Maurice.Lubowitz@gmail.com;57;8609;true
Rory;Rory97@hotmail.com;52;4635;false
Angelo;Angelo.Nitzsche63@gmail.com;96;3994;true
Eliane;Eliane72@gmail.com;22;5000;false
Donny;Donny60@hotmail.com;33;9627;false
Floy;Floy_Schmitt@yahoo.com;29;7285;true
Aron;Aron.Satterfield48@hotmail.com;73;9372;true
Bettye;Bettye.Hackett30@gmail.com;45;8093;true
Adam;Adam80@hotmail.com;40;6880;false
Juanita;Juanita61@yahoo.com;13;7259;true
Pierce;Pierce.Satterfield32@yahoo.com;25;2841;true
Marisa;Marisa98@hotmail.com;79;2881;true
Leora;Leora76@yahoo.com;27;3677;true
Devyn;Devyn_Casper@yahoo.com;11;4531;true
Marjory;Marjory.Schuppe@hotmail.com;91;7991;false
Reta;Reta.Torphy@yahoo.com;76;4205;true
Belle;Belle.Effertz14@yahoo.com;54;4658;false
Karelle;Karelle_Rath@gmail.com;38;5240;false
Rhianna;Rhianna_Ebert78@hotmail.com;24;7439;false
Geovanni;Geovanni_Tremblay4@hotmail.com;31;8877;false
Jenifer;Jenifer26@yahoo.com;13;8683;true
Houston;Houston_Schowalter84@gmail.com;19;2787;false
Javier;Javier.Kuhn@gmail.com;55;8793;false
Talon;Talon_Kihn18@yahoo.com;19;6259;true
Elisabeth;Elisabeth81@gmail.com;65;2016;true
Petra;Petra92@yahoo.com;20;3262;false
Faustino;Faustino.Williamson@gmail.com;17;4363;false
Ova;Ova52@yahoo.com;78;1089;true
Heber;Heber_Welch63@hotmail.com;59;9555;false
Palma;Palma_Carter81@yahoo.com;49;1233;false
Casey;Casey.Rice@gmail.com;71;6887;false
Retha;Retha_Hansen@gmail.com;98;9038;true
Misael;Misael17@yahoo.com;20;2787;false
Hope;Hope_Breitenberg@yahoo.com;10;6791;false
Samara;Samara69@hotmail.com;43;1530;false
Amelia;Amelia_Bradtke@gmail.com;14;5877;true
Camren;Camren75@yahoo.com;70;8072;false
Mozell;Mozell.Langworth@gmail.com;99;3372;true
Mekhi;Mekhi_Conn57@gmail.com;15;3504;false
Justina;Justina.Schmitt@yahoo.com;20;4097;false
Taryn;Taryn.Hane84@yahoo.com;37;6708;false
Tina;Tina_Pacocha41@gmail.com;81;0166;true
Makenzie;Makenzie.Purdy@gmail.com;62;8861;true
Garth;Garth_Blanda@gmail.com;58;4300;false
Orion;Orion_Funk44@gmail.com;44;8442;false
Mara;Mara.Hayes45@yahoo.com;41;5271;false
Emmitt;Emmitt23@hotmail.com;51;8991;true
Americo;Americo_Rath@yahoo.com;35;9365;false
Dereck;Dereck37@gmail.com;91;9764;false
Lessie;Lessie_OConnell@hotmail.com;97;7252;false
Viva;Viva_Kilback@gmail.com;57;5175;true
Ashleigh;Ashleigh.Fahey@gmail.com;49;0031;true
Alexis;Alexis31@gmail.com;62;0832;false
Joana;Joana_Green24@hotmail.com;79;1452;true
Clotilde;Clotilde34@gmail.com;31;1084;true
Gardner;Gardner83@gmail.com;41;2472;true
Aditya;Aditya91@yahoo.com;49;7801;true
Lenore;Lenore49@gmail.com;60;1864;false
Golden;Golden_Nikolaus43@hotmail.com;71;6720;true
Edgar;Edgar23@gmail.com;21;2067;false
Denis;Denis.Wilderman@gmail.com;51;8926;false
Americo;Americo_Walsh@hotmail.com;52;5607;true
Olen;Olen.Considine@hotmail.com;20;0389;true
Colby;Colby_Cassin22@yahoo.com;78;1626;true
Nelson;Nelson.Klein@yahoo.com;98;6462;false
Jovanny;Jovanny_Bradtke95@gmail.com;16;4202;false
Jaren;Jaren.Orn16@yahoo.com;11;6856;false
Narciso;Narciso27@gmail.com;50;2624;true
Sister;Sister71@gmail.com;89;7001;false
Keshaun;Keshaun.Huel69@gmail.com;10;4323;true
Rod;Rod_Murazik89@yahoo.com;89;9117;true
Maximilian;Maximilian_Wiza@yahoo.com;74;9617;true
Destany;Destany.Homenick@gmail.com;71;7019;true
Luther;Luther.Marvin94@gmail.com;36;2769;true
Kaia;Kaia.Jacobi@hotmail.com;74;5938;true
Gunner;Gunner_Little@yahoo.com;53;6608;true
Allan;Allan79@gmail.com;72;9288;true
Darrel;Darrel30@yahoo.com;39;3147;true
Evan;Evan_Walter@yahoo.com;80;1990;false
Lela;Lela73@yahoo.com;47;3484;false
Josephine;Josephine17@gmail.com;81;7026;true
Vivienne;Vivienne93@gmail.com;77;6545;true
Layla;Layla_Senger49@gmail.com;18;8389;false
Rosalee;Rosalee25@yahoo.com;18;5966;false
Eloy;Eloy34@yahoo.com;15;6250;false
Abbie;Abbie_Jacobson@yahoo.com;18;7286;false
Norwood;Norwood.Hintz@hotmail.com;39;8474;true
Keyshawn;Keyshawn89@gmail.com;79;5963;true
Janessa;Janessa.Harris6@hotmail.com;78;5491;true
Maude;Maude.Feeney@gmail.com;38;2665;true
Talon;Talon70@yahoo.com;55;1645;true
Ernesto;Ernesto24@hotmail.com;68;2366;false
Annabell;Annabell.Russel95@gmail.com;44;5352;true
Jules;Jules.Schuppe@hotmail.com;45;7429;true
Maude;Maude41@hotmail.com;32;0106;false
Candelario;Candelario.Thompson35@gmail.com;48;8339;false
Sadie;Sadie98@gmail.com;82;7456;true
Aurelio;Aurelio31@gmail.com;27;7991;false
Ibrahim;Ibrahim69@gmail.com;14;5152;false
Guillermo;Guillermo_Waelchi@yahoo.com;91;7136;false
Juanita;Juanita_Zulauf@hotmail.com;88;5303;false
Polly;Polly_Halvorson15@hotmail.com;31;5331;false
Claire;Claire39@gmail.com;21;0841;false
Carolyne;Carolyne94@yahoo.com;31;4024;false
Rick;Rick23@yahoo.com;52;6199;false
Leon;Leon.Hilpert41@gmail.com;38;7069;false
Stuart;Stuart63@gmail.com;56;5477;true
Nicole;Nicole2@gmail.com;10;2855;true
Berneice;Berneice.Kunze90@hotmail.com;83;9254;true
Sibyl;Sibyl20@gmail.com;27;3344;false
Davion;Davion.Dibbert@yahoo.com;41;1814;false
Demond;Demond76@yahoo.com;56;9256;true
Araceli;Araceli_Hirthe83@gmail.com;20;0804;false
Doyle;Doyle_Koepp@hotmail.com;30;9390;false
Mafalda;Mafalda88@yahoo.com;87;5271;true
Amie;Amie_Tillman96@yahoo.com;64;2145;true
Gail;Gail76@yahoo.com;13;2694;true
Odessa;Odessa.Russel@gmail.com;83;1610;false
Miller;Miller81@hotmail.com;71;2993;true
Jerel;Jerel90@yahoo.com;97;4170;false
Kelley;Kelley_Hegmann8@gmail.com;38;3708;false
Kenyon;Kenyon36@gmail.com;99;1604;false
Gene;Gene93@gmail.com;56;8887;true
Roma;Roma90@hotmail.com;48;4748;true
Florine;Florine92@yahoo.com;70;3521;false
Evalyn;Evalyn.Mraz@yahoo.com;82;7768;true
Burdette;Burdette_Gislason@yahoo.com;18;8991;false
Rosalyn;Rosalyn.Stark72@hotmail.com;34;3476;true
Lenore;Lenore.McLaughlin@yahoo.com;44;9450;false
Jessie;Jessie_Greenholt51@hotmail.com;77;9145;false
Beulah;Beulah.Ferry@hotmail.com;16;9804;true
Asha;Asha_Russel43@hotmail.com;68;9351;true
Lauriane;Lauriane42@hotmail.com;90;3383;true
Tristin;Tristin_Franey@gmail.com;21;0249;false
Dillon;Dillon16@gmail.com;46;3892;true
Caleigh;Caleigh_Kertzmann84@yahoo.com;57;2077;true
Reta;Reta.Abernathy37@yahoo.com;67;4481;true
Cheyanne;Cheyanne.Beier24@yahoo.com;20;0972;false
Nova;Nova.Haley@gmail.com;89;8042;false
Joana;Joana.Kuhic@hotmail.com;88;3179;false
Jimmie;Jimmie.Heller58@hotmail.com;86;5383;true
Nina;Nina.Koch@yahoo.com;48;6312;false
Anais;Anais.Wunsch@gmail.com;71;6524;false
Grayson;Grayson58@gmail.com;43;9706;false
Lacy;Lacy28@hotmail.com;66;1419;false
Nikita;Nikita15@gmail.com;96;3237;true
Marjorie;Marjorie23@yahoo.com;87;6830;false
Anne;Anne.Wiegand71@gmail.com;44;9651;false
Esmeralda;Esmeralda26@yahoo.com;12;5067;false
Annetta;Annetta.Cummings4@yahoo.com;54;8431;true
Gilda;Gilda_Hyatt@yahoo.com;48;7795;false
Rod;Rod.Powlowski@gmail.com;12;4245;false
Otis;Otis37@yahoo.com;92;5107;false
Quentin;Quentin_Hoppe@hotmail.com;73;5939;true
Idell;Idell.Hessel8@yahoo.com;67;2849;true
